; 1pctCO2 from hector
; hectordata 0.0.0.9000
; date Wed Feb  1 18:28:29 2023
; UNITS:, ppmv CO2, ppbv CH4, ppbv N2O, pptv, pptv, pptv, W/m2, W/m2, W/m2, Pg C/yr, Pg C/yr, Pg C/yr, Pg C/yr, Tg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Tg CO, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg N, Tg, Tg NMVOC, Tg N, Tg, Gg, Gg S, Gg, Gg, Gg
Date,BC_emissions,C2F6_emissions,CCl4_emissions,CF4_constrain,CF4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_constrain,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_constrain,CH3Cl_emissions,CH4_constrain,CH4_emissions,CO2_constrain,CO_emissions,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC125_emissions,HFC134a_emissions,HFC143a_emissions,HFC227ea_emissions,HFC23_emissions,HFC245fa_emissions,HFC32_emissions,HFC4310_emissions,N2O_constrain,N2O_emissions,NH3_emissions,NMVOC_emissions,NOX_emissions,OC_emissions,RF_albedo,RF_misc,SF6_emissions,SO2_emissions,SV,daccs_uptake,ffi_emissions,halon1211_emissions,halon1301_emissions,halon2402_emissions,luc_emissions,luc_uptake
1745,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1747,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1749,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1750,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1751,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1752,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1753,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1754,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1758,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1759,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,277.15,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1761,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,279.9215,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1762,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,282.720715,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1763,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,285.54792215000003,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1764,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,288.40340137149997,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1765,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,291.287435385215,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1766,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,294.20030973906717,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1767,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,297.1423128364578,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1768,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,300.1137359648224,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,303.1148733244706,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,306.1460220577153,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,309.20748227829245,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1772,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,312.2995571010754,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1773,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,315.42255267208617,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1774,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,318.57677819880706,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1775,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,321.7625459807951,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1776,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,324.9801714406031,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,328.2299731550091,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1778,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,331.5122728865592,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1779,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,334.82739561542473,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,338.175669571579,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,341.55742626729483,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,344.97300052996775,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1783,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,348.4227305352674,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1784,0,0,0,35,0,0,0,0,0,0,5.8,0,0,504,0,731.41,0,351.9069578406201,0,0,0,0,0,0,0,0,0,0,0,0,273.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
